(a4,f7.4,a1,1x,f7.4,a1,2x,i4,1x,i1,1x,i3,2x,f5.2,2x,f5.2,2x,i1)                 
CSFT40.8292N 14.1395E   108 1   1  -0.00  -0.1       lon,z,model,icc,ptcor,stcor
CBAC40.8110N 14.0807E    33 2   2  -0.02   0.04                                 
CFBT40.8090N 14.1442E   -38 1   3   0.00   0.00                                 
CAWE40.8401N 14.1394E   222 2   4  -0.03  -0.06                                 
CSOB40.8267N 14.1439E   177 1 105   0.00  -0.19                                 
CFMN40.8329N 14.0904E    50 2   5  -0.05   0.01                                 
CPOZ40.8212N 14.1186E     3 1   6  -0.03   0.25                                 
CBAG40.8115N 14.1747E     5 2   7  -0.07   0.09                                 
CLAC40.8836N 14.0706E    55 1   8  -0.12   0.04                                 
PTMR40.7614N 14.0349E   100 2   9  -0.01   0.00                                 
CAAM40.8200N 14.1420E   100 1  10  -0.01   0.09                                 
CDOV40.8197N 14.1828E    18 2  11  -0.15   0.03                                 
CMIS40.7782N 14.0890E   134 1  12  -0.16  -0.27                                 
CNIS40.7982N 14.1632E    50 2  13  -0.05   0.07                                 
CQUE40.8856N 14.1538E    65 1  14  -0.15   0.07                                 
CFBO40.8103N 14.1212E   -40 2  15   0.00   0.00                                 
COLB40.8190N 14.1446E     8 1  16  -0.05   0.01                                 
CSTH40.8294N 14.1491E    65 2  17  -0.04  -0.12                                 
CMSN40.8386N 14.1836E    95 1  18  -0.11  -0.05                                 
CROS40.8245N 14.1502E   108 2  19  -0.07  -0.20                                 
CASE40.8402N 14.1587E   107 1  20   0.00   0.00                                 
CCAP40.8064N 14.1923E   166 2  21  -0.04   0.09                                 
CMTS40.8314N 14.1972E    40 1  22  -0.06   0.19                                 
VFIV40.8080N 14.1594E    14 2  23   0.01   0.00                                 
CPIS40.8292N 14.1470E    69 1  24   0.01  -0.12                                 
VTWO40.8297N 14.1475E    69 2  25   0.01  -0.02                                 
CRUS40.8625N 14.0798E   104 1  26  -0.23  -0.09                                 
CSOC40.8417N 14.2124E   100 2  27  -0.02   0.01                                 
CGAU40.8524N 14.1130E   101 1  28  -0.09  -0.20                                 
CUMA40.8479N 14.0534E    81 2  29  -0.05  -0.04                                 
BCLI40.7968N 14.0777E    15 1  30   0.04   0.19                                 
BAIP40.8183N 14.0705E     8 2  31   0.04   0.02                                 
POZL40.8321N 14.0843E    41 1  32   0.00   0.04                                 
POZT40.8208N 14.1210E    36 2  33   0.03   0.36                                 
POZA40.8341N 14.1167E    73 1  34   0.04   0.10                                 
POZB40.8401N 14.1012E    73 2  35  -0.02  -0.09                                 
POZS40.8288N 14.1300E    93 1  36  -0.01  -0.00                                 
MPCD40.7944N 14.0552E    88 2  37   0.01   0.03                                 
POZM40.8239N 14.1435E   151 1  38   0.04   0.04                                 
POZU40.8558N 14.1208E    73 2  39  -0.02   0.06                                 
NABA40.8188N 14.1611E    71 1  40  -0.00   0.04                                 
BANN40.8138N 14.1652E    51 2  41  -0.01   0.12                                 
NAAG40.8334N 14.1657E    32 1  42  -0.12  -0.17                                 
NACO40.8049N 14.1744E     7 2  43   0.08   0.08                                 
NAFG40.8202N 14.1786E   134 1  44  -0.10  -0.21                                 
NAPP40.7992N 14.1796E   203 2  45   0.00   0.00                                 
NADD40.8717N 14.2800E   146 1  46   0.00   0.00                                 
CMDP40.7963N 14.0627E    55 2  47  -0.03  -0.05                                 
CREM40.8235N 14.1282E    77 1  48  -0.01   0.21                                 

